id,x,y,householdID,realizationID,SERIALNO,NP,FS,VEH,GRPIP,HHT,HINCP,HH_income,HUPAC,MV,PARTNER,FACRP
749100233,430698.6043,4648429.283,7491,233,7491,1,2,1,11,4,66900,58900,4,1,0,0
749100293,430851.0045,4648190.66,7491,293,7491,1,2,1,11,4,66900,58900,4,1,0,0
781400067,444965.7196,4628378.573,7814,67,7814,1,2,0,100,6,12000,12000,4,3,0,0
791800137,440079.7047,4617635.37,7918,137,7918,3,2,2,0,3,147200,73800,4,7,0,0
810100059,431535.1176,4648301.776,8101,59,8101,2,2,1,0,1,329900,315000,4,3,0,0
810100061,441250.6902,4622553.152,8101,61,8101,2,2,1,0,1,329900,315000,4,3,0,0
811000050,440331.7488,4620630.867,8110,50,8110,2,1,0,32,5,29500,11500,4,2,0,0
884500006,444511.2711,4645413.192,8845,6,8845,5,2,3,0,1,71000,70000,3,2,0,0
884500012,441211.5341,4625996.79,8845,12,8845,5,2,3,0,1,71000,70000,3,2,0,0
884500079,429876.3305,4647025.746,8845,79,8845,5,2,3,0,1,71000,70000,3,2,0,0
884500138,440588.147,4615207.311,8845,138,8845,5,2,3,0,1,71000,70000,3,2,0,0
933700058,443023.3396,4626201.204,9337,58,9337,2,2,2,0,7,86300,83000,4,4,4,0
942900099,436459.0678,4650957.796,9429,99,9429,3,2,2,0,1,80001,90000,2,3,0,0
970600076,442460.9089,4624719.583,9706,76,9706,0,0,0,0,0,0,0,0,0,0,0
1083200000,441685.6146,4625825.717,10832,0,10832,3,2,3,0,1,76700,76700,4,5,0,0
1083200051,444768.4952,4617970.235,10832,51,10832,3,2,3,0,1,76700,76700,4,5,0,0
1083200073,441141.0001,4626262.323,10832,73,10832,3,2,3,0,1,76700,76700,4,5,0,0
1161200027,429469.3084,4644952.788,11612,27,11612,5,2,2,0,1,140000,140000,3,5,0,0
1161200033,442498.5058,4618207.412,11612,33,11612,5,2,2,0,1,140000,140000,3,5,0,0
1161200075,441232.6586,4615543.282,11612,75,11612,5,2,2,0,1,140000,140000,3,5,0,0
1167600027,430241.6584,4647045.407,11676,27,11676,2,2,2,14,5,90000,90000,4,2,0,0
1168200148,433555.2802,4627719.499,11682,148,11682,1,2,1,0,6,26000,26000,4,3,0,0
1176900016,441556.9307,4615340.979,11769,16,11769,1,2,1,0,6,92000,92000,4,2,0,0
1176900056,430951.6767,4648227.739,11769,56,11769,1,2,1,0,6,92000,92000,4,2,0,0
1176900073,443739.2183,4615872.125,11769,73,11769,1,2,1,0,6,92000,92000,4,2,0,0
1180700128,441841.2371,4623935.869,11807,128,11807,1,2,1,0,6,40020,40000,4,7,0,0
1215200039,441810.0241,4622872.516,12152,39,12152,1,2,0,24,4,42000,42000,4,1,0,0
1220600026,440789.2114,4617373.332,12206,26,12206,1,2,0,9,6,96000,96000,4,3,0,0
1220600120,425872.3185,4650497.704,12206,120,12206,1,2,0,9,6,96000,96000,4,3,0,0
1220600211,433567.6283,4627722.885,12206,211,12206,1,2,0,9,6,96000,96000,4,3,0,0
1222500023,431226.9893,4648200.597,12225,23,12225,1,2,0,101,6,10000,10000,4,1,0,0
1222500039,433507.7477,4627675.317,12225,39,12225,1,2,0,101,6,10000,10000,4,1,0,0
1230600241,436443.9925,4650605.583,12306,241,12306,1,2,0,0,6,95000,92000,4,4,0,0
1240200024,443836.1244,4615900.712,12402,24,12402,0,0,0,0,0,0,0,0,0,0,0
1240200043,445108.2132,4620220.098,12402,43,12402,0,0,0,0,0,0,0,0,0,0,0
1240200118,445136.1107,4619999.363,12402,118,12402,0,0,0,0,0,0,0,0,0,0,0
1261400000,447768.0201,4614079.333,12614,0,12614,3,2,1,0,1,160000,0,2,6,0,0
1338000107,448134.5421,4612699.771,13380,107,13380,3,2,1,0,3,50000,50000,4,3,0,0
1338000128,447287.4519,4613016.725,13380,128,13380,3,2,1,0,3,50000,50000,4,3,0,0
1338000135,445976.756,4619384.06,13380,135,13380,3,2,1,0,3,50000,50000,4,3,0,0
1338000139,446610.968,4612968.382,13380,139,13380,3,2,1,0,3,50000,50000,4,3,0,0
1350800003,448139.7848,4623980.02,13508,3,13508,2,1,2,0,3,42800,42800,4,7,0,0
1382200052,444552.3327,4622999.349,13822,52,13822,3,1,0,74,3,11600,11600,2,1,0,0
1382200091,441408.6889,4622410.545,13822,91,13822,3,1,0,74,3,11600,11600,2,1,0,0
1382200110,443992.4652,4622657.824,13822,110,13822,3,1,0,74,3,11600,11600,2,1,0,0
1382200119,450203.9607,4622666.618,13822,119,13822,3,1,0,74,3,11600,11600,2,1,0,0
1384500049,445853.6205,4617467.845,13845,49,13845,3,2,2,0,1,150000,150000,2,4,0,0
1397700136,443621.695,4616222.378,13977,136,13977,2,2,2,0,1,57400,57400,4,4,0,0
1409700002,445514.0976,4623805.765,14097,2,14097,1,2,0,31,6,9300,9300,4,5,0,0
1427100019,445539.0989,4617561.595,14271,19,14271,3,2,1,22,1,54100,54100,2,3,0,0
1454000071,448375.1777,4634664.272,14540,71,14540,2,2,0,75,3,17600,17600,4,3,0,0
1454000080,446803.5836,4625192.171,14540,80,14540,2,2,0,75,3,17600,17600,4,3,0,0
1465300145,446978.5073,4621419.955,14653,145,14653,2,2,1,21,1,41000,41000,4,4,0,0
1479100039,445736.3812,4624915.36,14791,39,14791,1,2,0,62,4,19800,19800,4,3,0,0
1487800168,446255.0747,4618496.451,14878,168,14878,2,2,2,0,7,106600,67000,4,5,0,0
1487800293,443793.0262,4616080.408,14878,293,14878,2,2,2,0,7,106600,67000,4,5,0,0
1487800307,442134.0995,4625319.066,14878,307,14878,2,2,2,0,7,106600,67000,4,5,0,0
1487800323,446193.8972,4622772.511,14878,323,14878,2,2,2,0,7,106600,67000,4,5,0,0
1496600106,446821.8429,4620837.398,14966,106,14966,4,2,2,0,1,15880,15880,2,4,0,0
1570000022,444026.7494,4626524.636,15700,22,15700,5,2,2,0,1,81400,67400,2,3,0,0
1570000023,446607.3469,4614599.064,15700,23,15700,5,2,2,0,1,81400,67400,2,3,0,0
1621300082,447167.1227,4625451.903,16213,82,16213,4,2,1,0,1,120000,120000,2,5,0,0
1621300083,447228.4108,4619093.24,16213,83,16213,4,2,1,0,1,120000,120000,2,5,0,0
1621300090,446364.2131,4616232.705,16213,90,16213,4,2,1,0,1,120000,120000,2,5,0,0
1621300101,424872.3711,4650912.58,16213,101,16213,4,2,1,0,1,120000,120000,2,5,0,0
1621300120,441081.4239,4615580.107,16213,120,16213,4,2,1,0,1,120000,120000,2,5,0,0
1621300133,443194.8583,4618052.065,16213,133,16213,4,2,1,0,1,120000,120000,2,5,0,0
1621300187,425915.1489,4650687.509,16213,187,16213,4,2,1,0,1,120000,120000,2,5,0,0
1644400004,425230.9234,4651045.578,16444,4,16444,2,2,2,0,1,36000,36000,4,6,0,0
1644400037,441217.6811,4615562.664,16444,37,16444,2,2,2,0,1,36000,36000,4,6,0,0
1644400072,424986.1212,4651088.325,16444,72,16444,2,2,2,0,1,36000,36000,4,6,0,0
1702700058,443249.7688,4617599.638,17027,58,17027,2,2,2,0,3,61800,52200,4,7,0,0
1771100031,441775.9578,4616117.614,17711,31,17711,1,2,1,0,4,17050,16800,4,6,0,0
1786000039,443116.5077,4617826.848,17860,39,17860,6,2,2,0,1,141200,134200,2,1,0,0
1786000082,443841.9724,4617494.916,17860,82,17860,6,2,2,0,1,141200,134200,2,1,0,0
1786000090,446849.3064,4618768.128,17860,90,17860,6,2,2,0,1,141200,134200,2,1,0,0
1811800076,441718.8086,4615456.634,18118,76,18118,4,1,0,15,3,80310,80310,3,1,0,0
1821900003,446195.3349,4615987.494,18219,3,18219,2,2,0,0,5,35100,26900,4,5,0,0
1823800064,443251.466,4618074.314,18238,64,18238,4,2,3,25,2,40000,40000,3,3,2,0
1847100026,448930.6704,4623301.149,18471,26,18471,2,2,1,0,3,55300,55300,4,7,0,0
1847100080,441985.5688,4615971.554,18471,80,18471,2,2,1,0,3,55300,55300,4,7,0,0
1847100119,440032.9612,4622386.016,18471,119,18471,2,2,1,0,3,55300,55300,4,7,0,0
1847100205,443734.407,4618642.763,18471,205,18471,2,2,1,0,3,55300,55300,4,7,0,0
1864000000,425685.3826,4650392.742,18640,0,18640,5,2,2,76,1,18200,18200,2,3,0,0
1864000008,424601.7648,4650695.476,18640,8,18640,5,2,2,76,1,18200,18200,2,3,0,0
1864000027,440462.696,4622341.141,18640,27,18640,5,2,2,76,1,18200,18200,2,3,0,0
1864000035,441068.7881,4622950.64,18640,35,18640,5,2,2,76,1,18200,18200,2,3,0,0
1890100036,425179.3331,4651076.879,18901,36,18901,4,2,1,18,5,104100,100500,4,2,0,0
1890100082,440335.9038,4622668.245,18901,82,18901,4,2,1,18,5,104100,100500,4,2,0,0
1890100121,441365.2211,4626094.63,18901,121,18901,4,2,1,18,5,104100,100500,4,2,0,0
1900300098,425825.3993,4650816.675,19003,98,19003,2,1,2,51,3,18400,18400,1,3,0,0
1900300117,439272.8691,4625106.549,19003,117,19003,2,1,2,51,3,18400,18400,1,3,0,0
1910100132,442747.9341,4624964.986,19101,132,19101,1,2,1,0,6,55000,55000,4,5,0,0
1910100147,441444.9996,4623502.493,19101,147,19101,1,2,1,0,6,55000,55000,4,5,0,0
1910100276,441282.8347,4614707.782,19101,276,19101,1,2,1,0,6,55000,55000,4,5,0,0
1983100132,425945.1174,4650720.224,19831,132,19831,4,1,1,21,3,45800,45800,2,1,4,0
2013400008,435846.4551,4627392.456,20134,8,20134,0,0,0,0,0,0,0,0,0,0,0
2013400068,444144.1515,4620782.782,20134,68,20134,0,0,0,0,0,0,0,0,0,0,0
2084900204,447052.2186,4618227.196,20849,204,20849,1,2,1,0,6,55200,55200,4,3,0,0
2087200020,445053.2543,4621558.257,20872,20,20872,1,2,0,0,6,130000,130000,4,1,0,0
2087200058,440798.5794,4623714.257,20872,58,20872,1,2,0,0,6,130000,130000,4,1,0,0
2087200119,440375.9949,4623206.203,20872,119,20872,1,2,0,0,6,130000,130000,4,1,0,0
2087200154,439601.2195,4622368.89,20872,154,20872,1,2,0,0,6,130000,130000,4,1,0,0
2091000009,439223.0076,4625584.849,20910,9,20910,1,2,1,0,6,44000,21300,4,7,0,0
2141900018,442190.9933,4627391.125,21419,18,21419,2,2,1,0,1,38200,38200,4,7,0,0
2141900052,430161.8804,4645411.212,21419,52,21419,2,2,1,0,1,38200,38200,4,7,0,0
2179300013,440073.4849,4626871.837,21793,13,21793,3,2,1,7,3,66000,66000,4,5,0,0
2194700007,444705.4706,4645639.634,21947,7,21947,3,2,3,19,5,130000,130000,4,1,0,0
2194700026,444053.5192,4628047.07,21947,26,21947,3,2,3,19,5,130000,130000,4,1,0,0
2194700093,440131.3221,4622382.941,21947,93,21947,3,2,3,19,5,130000,130000,4,1,0,0
2217100051,429882.1105,4647041.535,22171,51,22171,0,0,0,0,0,0,0,0,0,0,0
2217100153,439031.4188,4627059.402,22171,153,22171,0,0,0,0,0,0,0,0,0,0,0
2258800037,441285.221,4630426.777,22588,37,22588,3,2,2,0,1,125000,125000,1,1,0,0
2281100015,446799.3848,4632204.01,22811,15,22811,8,1,0,101,2,7350,7350,3,1,0,0
2299800027,441810.081,4625001.613,22998,27,22998,2,2,0,59,3,17200,17200,4,4,0,0
2301600048,424716.6791,4650667.425,23016,48,23016,7,2,2,18,1,71230,71230,3,3,0,0
2323300066,433462.6308,4627674.157,23233,66,23233,2,2,2,0,2,72000,72000,2,4,0,0
2323300069,442340.9597,4624795.37,23233,69,23233,2,2,2,0,2,72000,72000,2,4,0,0
2323300097,441494.3031,4616618.118,23233,97,23233,2,2,2,0,2,72000,72000,2,4,0,0
2350600052,442562.4978,4615716.987,23506,52,23506,5,1,4,14,2,58000,58000,3,4,2,0
2375300019,446676.0003,4619100.332,23753,19,23753,2,2,1,18,1,61700,61700,4,4,0,0
2399100117,446081.4865,4621510.41,23991,117,23991,2,2,1,28,5,40000,40000,4,1,0,0
2401100139,444789.6654,4615275.266,24011,139,24011,0,0,0,0,0,0,0,0,0,0,0
2401100165,444263.8735,4620962.981,24011,165,24011,0,0,0,0,0,0,0,0,0,0,0
2401100179,444890.3472,4614471.431,24011,179,24011,0,0,0,0,0,0,0,0,0,0,0
2435600077,440432.9809,4621988.013,24356,77,24356,3,2,2,0,1,100000,100000,2,4,0,0
2471700018,446417.783,4618213.492,24717,18,24717,1,2,1,30,6,23000,23000,4,1,0,0
2489700015,452696.6951,4618827.028,24897,15,24897,0,0,0,0,0,0,0,0,0,0,0
2493400027,446023.0599,4626274.723,24934,27,24934,0,0,0,0,0,0,0,0,0,0,0
2493400105,445321.0579,4616351.227,24934,105,24934,0,0,0,0,0,0,0,0,0,0,0
2507800022,446090.9928,4625503.269,25078,22,25078,0,0,0,0,0,0,0,0,0,0,0
2507800066,446235.4831,4620167.146,25078,66,25078,0,0,0,0,0,0,0,0,0,0,0
2507800156,446400.0285,4617913.007,25078,156,25078,0,0,0,0,0,0,0,0,0,0,0
2507800172,446262.6065,4615878.755,25078,172,25078,0,0,0,0,0,0,0,0,0,0,0
2525300027,444142.2391,4621865.096,25253,27,25253,1,2,1,12,4,170000,170000,4,2,0,0
2540600041,445320.0617,4620384.69,25406,41,25406,2,1,1,72,1,28000,28000,4,2,0,0
2540600057,445256.7311,4622133.824,25406,57,25406,2,1,1,72,1,28000,28000,4,2,0,0
2548100022,446981.3936,4620896.38,25481,22,25481,1,2,0,62,6,15000,15000,4,1,0,0
2553100044,445975.5929,4618833.343,25531,44,25531,1,2,0,0,6,35700,20500,4,7,0,0
2553100104,445802.8652,4622792.676,25531,104,25531,1,2,0,0,6,35700,20500,4,7,0,0
2553700017,444501.9399,4620461.166,25537,17,25537,1,2,0,0,6,28900,28900,4,4,0,0
2567500097,442004.2799,4625061.988,25675,97,25675,2,2,1,12,5,178000,178000,4,1,2,0
2573700183,442572.5227,4625041.825,25737,183,25737,1,2,1,0,6,61050,61000,4,6,0,0
2586300035,442436.2517,4625062.074,25863,35,25863,2,2,0,0,3,161130,158800,4,7,0,0
2586300127,441184.7987,4621130.816,25863,127,25863,2,2,0,0,3,161130,158800,4,7,0,0
2607700008,442868.3201,4625384.679,26077,8,26077,2,2,2,15,7,95300,94000,4,2,4,0
2626400051,442349.4764,4626097.514,26264,51,26264,5,2,3,0,1,96700,91700,2,5,0,0
2626400059,440110.9465,4621668.792,26264,59,26264,5,2,3,0,1,96700,91700,2,5,0,0
2626400067,442888.6952,4628220.404,26264,67,26264,5,2,3,0,1,96700,91700,2,5,0,0
2646100032,440150.1542,4615714.37,26461,32,26461,1,2,1,0,4,69000,69000,4,1,0,0
2646800028,433584.7672,4626101.434,26468,28,26468,2,2,1,23,1,69700,69700,4,1,0,0
2646800031,441941.0843,4625386.962,26468,31,26468,2,2,1,23,1,69700,69700,4,1,0,0
2646800191,446876.0227,4628958.123,26468,191,26468,2,2,1,23,1,69700,69700,4,1,0,0
2655900069,440214.4621,4625853.066,26559,69,26559,4,2,4,0,1,105700,97200,4,6,0,0
2723900028,425647.0443,4650907.05,27239,28,27239,2,2,0,12,5,117000,117000,4,3,2,0
2723900118,432872.2617,4646728.827,27239,118,27239,2,2,0,12,5,117000,117000,4,3,2,0
2746100091,441643.4445,4626843.44,27461,91,27461,4,1,2,40,3,45400,45400,3,3,4,0
2746100128,442128.5006,4615717.831,27461,128,27461,4,1,2,40,3,45400,45400,3,3,4,0
2752800064,431528.5978,4648317.172,27528,64,27528,3,1,3,41,3,33000,23000,4,1,4,0
2752800098,445626.6274,4632597.449,27528,98,27528,3,1,3,41,3,33000,23000,4,1,4,0
2764500005,435751.4155,4627471.011,27645,5,27645,2,2,2,0,1,58670,55800,4,7,0,0
2764500122,441308.3024,4630628.79,27645,122,27645,2,2,2,0,1,58670,55800,4,7,0,0
2764500158,440341.3552,4626335.416,27645,158,27645,2,2,2,0,1,58670,55800,4,7,0,0
2777900076,440276.5798,4628551.551,27779,76,27779,2,2,1,10,7,66500,66500,4,2,4,0
2791600040,440232.1596,4626766.562,27916,40,27916,2,2,2,0,7,85000,85000,4,3,4,0
2791600079,426304.327,4650486.364,27916,79,27916,2,2,2,0,7,85000,85000,4,3,4,0
2809500099,455736.091,4617558.955,28095,99,28095,3,2,2,10,1,103000,103000,4,5,0,0
2868300016,440568.1973,4626632.835,28683,16,28683,1,2,1,7,4,170000,170000,4,1,0,0
2868300019,440861.2281,4630399.349,28683,19,28683,1,2,1,7,4,170000,170000,4,1,0,0
2870600043,441033.7509,4630335.999,28706,43,28706,0,0,0,0,0,0,0,0,0,0,0
2943500003,442888.272,4628916.678,29435,3,29435,1,2,0,0,0,0,360,0,3,0,0
2947800043,436035.1422,4627407.233,29478,43,29478,2,2,2,0,1,135000,135000,4,1,0,0
2947800062,444664.6408,4630962.583,29478,62,29478,2,2,2,0,1,135000,135000,4,1,0,0
2957400004,442956.618,4628791.669,29574,4,29574,4,2,3,0,1,70300,65100,2,5,0,0
2957400061,439501.1136,4628903.775,29574,61,29574,4,2,3,0,1,70300,65100,2,5,0,0
2957400078,439427.2917,4621912.437,29574,78,29574,4,2,3,0,1,70300,65100,2,5,0,0
2957400213,442129.5804,4623841.62,29574,213,29574,4,2,3,0,1,70300,65100,2,5,0,0
2957400217,442750.3504,4616529.102,29574,217,29574,4,2,3,0,1,70300,65100,2,5,0,0
3017300096,442429.2332,4627842.728,30173,96,30173,2,2,1,0,1,245000,100000,4,3,0,0
3056500052,442433.9017,4627697.32,30565,52,30565,6,2,4,0,1,77000,77000,1,3,0,0
3058000022,425081.0268,4650974.558,30580,22,30580,2,2,2,0,1,279000,274000,4,4,0,0
3058000025,447098.3756,4632057.434,30580,25,30580,2,2,2,0,1,279000,274000,4,4,0,0
3099500114,443335.1052,4627788.567,30995,114,30995,4,2,2,25,1,120000,120000,2,1,0,0
3150500024,443073.4233,4628117.5,31505,24,31505,1,2,1,53,4,20000,20000,4,4,0,0
3155800036,443234.387,4615989.452,31558,36,31558,2,1,0,13,3,119200,119200,4,2,0,0
3155800081,442841.7503,4627630.999,31558,81,31558,2,1,0,13,3,119200,119200,4,2,0,0
3155800100,442096.7401,4625116.212,31558,100,31558,2,1,0,13,3,119200,119200,4,2,0,0
3155800245,444182.8304,4630961.332,31558,245,31558,2,1,0,13,3,119200,119200,4,2,0,0
3182400061,425100.7887,4650932.11,31824,61,31824,2,2,1,27,7,60900,60900,4,1,4,0
3182400155,439023.9323,4626928.885,31824,155,31824,2,2,1,27,7,60900,60900,4,1,4,0
3201100128,441741.7501,4625376.817,32011,128,32011,8,2,0,49,3,37100,37100,3,1,0,0
3255700035,440225.2794,4627243.074,32557,35,32557,0,0,0,0,0,0,0,0,0,0,0
3279900182,444840.7378,4628922.18,32799,182,32799,1,2,1,0,4,85700,85000,4,4,0,0
3302900011,444499.8247,4628605.36,33029,11,33029,2,2,1,0,3,40400,40400,4,6,0,0
3302900041,436580.4201,4625092.308,33029,41,33029,2,2,1,0,3,40400,40400,4,6,0,0
3305700043,446195.931,4631030.768,33057,43,33057,5,2,2,0,1,35000,35000,3,4,0,0
3305700101,444437.14,4629091.204,33057,101,33057,5,2,2,0,1,35000,35000,3,4,0,0
3305700237,444454.4352,4629133.506,33057,237,33057,5,2,2,0,1,35000,35000,3,4,0,0
3307700001,440292.7408,4625765.173,33077,1,33077,1,2,0,101,6,1200,1200,4,5,0,0
3312000095,444444.3674,4628180.651,33120,95,33120,6,1,1,0,2,102600,102600,2,3,0,0
3318800029,425832.2613,4650576.564,33188,29,33188,1,2,1,10,4,330200,137200,4,2,0,0
3318800158,436454.5267,4650603.778,33188,158,33188,1,2,1,10,4,330200,137200,4,2,0,0
3318800159,437487.1377,4642683.345,33188,159,33188,1,2,1,10,4,330200,137200,4,2,0,0
3318800207,443404.2364,4647545.461,33188,207,33188,1,2,1,10,4,330200,137200,4,2,0,0
3358800000,445175.7169,4628680.87,33588,0,33588,1,2,1,80,6,12000,10000,4,5,0,0
3406200026,443362.7017,4627222.883,34062,26,34062,1,2,2,0,4,22000,18000,4,6,0,0
3416900073,445428.7573,4631136.545,34169,73,34169,3,2,2,0,1,16000,16000,2,4,0,0
3436300032,443012.7859,4628173.232,34363,32,34363,1,2,0,92,6,10000,10000,4,1,0,0
3443800039,444677.9644,4628545.685,34438,39,34438,2,2,2,0,1,87200,57200,4,5,0,0
3467800021,440400.8832,4626936.447,34678,21,34678,1,1,1,32,4,22300,22300,4,1,0,0
3467800043,439214.34,4625282.87,34678,43,34678,1,1,1,32,4,22300,22300,4,1,0,0
